dataset,target,model,mae,rmse,r2,mae_percent,mae_over_test_std,mae_over_train_std,mae_std,rmse_std,r2_std,mae_percent_std,mae_over_test_std_std,mae_over_train_std_std,n,mae_ci95,rmse_ci95,r2_ci95,mae_percent_ci95,mae_over_test_std_ci95,mae_over_train_std_ci95
with_ring_types,energy,random_forest,0.5474749299703746,0.8300054172072144,0.9951956517395611,0.705196862901145,0.04572025381259076,0.04571156316704262,0.010735697632370247,0.021526292390202345,0.00012270917502899006,0.014015240645730646,0.00043048872464813477,0.0011048037948735102,5,0.01333012924571555,0.026728422275721957,0.00015236356488278156,0.01740221973596585,0.0005345223510282434,0.0013717950971733365
with_ring_types,energy,test_mean_baseline,9.590568158132104,11.975007574609041,0.0,12.353603511965748,0.8009256008971667,0.8007651132985345,0.1639775046204124,0.24200700420853213,0.0,0.22129892711348206,0.0035065307479365186,0.017630837698496982,5,0.20360496400245787,0.30049138443888174,0.0,0.27477891063793003,0.004353932988307301,0.021891576428397456
with_ring_types,energy,train_mean_baseline,9.5917628521323,11.976626765204418,-0.0002735805573569726,12.35509832294095,0.8010303868343286,0.800863631734013,0.15874285224878143,0.24089261791600988,0.0003416696065078351,0.21175562095837305,0.003244923368386249,0.01722241701284433,5,0.1971052846094917,0.29910769109936514,0.0004242388496812262,0.2629293309612948,0.004029104523455303,0.02138445516690086
with_ring_types,gap,random_forest,0.25634396812193,0.3273677789878159,0.6029969135573199,20.016030883077402,0.49331744816207274,0.4929354718277644,0.003820013495751719,0.004708022378505972,0.01762133527109842,0.327645905830964,0.012743458706566544,0.008507486153386935,5,0.004743173230327425,0.005845781890128532,0.021879777606401116,0.4068261254291695,0.015823093888540016,0.010563439271877603
with_ring_types,gap,test_mean_baseline,0.42155071181840603,0.5198505741335618,0.0,32.91527974017413,0.8109284437844296,0.8106998563157829,0.010071143076469684,0.012804476640446805,0.0,0.7856193451298196,0.004376470965286295,0.024314538305247237,5,0.012504975778811529,0.01589885766028391,0.0,0.9754752571401165,0.005434106436780078,0.03019048684657192
with_ring_types,gap,train_mean_baseline,0.42168408214153474,0.5200026712776264,-0.0005893320515738278,32.92566293701442,0.8111890513009257,0.810955336148089,0.009965292536683521,0.012754681745395883,0.00034948109803368795,0.7758515826662855,0.004391338206135672,0.02411304420290643,5,0.012373544974368614,0.015837029131804847,0.0004339380974811515,0.96334697814614,0.005452566554495374,0.029940298873844955
with_ring_types,homo,random_forest,0.15781129427500556,0.20239471006631954,0.7526341443585938,1.527966377451025,0.3876745627484638,0.3873579777199069,0.0018901367553550712,0.0023701631744071482,0.013054808665250621,0.016894607936593118,0.009510074929191181,0.004013552892201278,5,0.002346914760806072,0.0029429462835297107,0.016209685923080263,0.020977426438635295,0.011808317659796924,0.00498348413113293
with_ring_types,homo,test_mean_baseline,0.33747385553698395,0.40718783262642877,0.0,3.267601749870797,0.8287081490327989,0.8284333528948334,0.008147796692170877,0.006536482987025062,0.0,0.08256464747777029,0.006968994801223112,0.02340049444311902,5,0.010116825817352314,0.008116115599860437,0.0,0.10251755029753278,0.008653149948347953,0.029055551490188184
with_ring_types,homo,train_mean_baseline,0.3377680425687629,0.40747720379662367,-0.0014193538367778201,3.270439500330787,0.8294620934389135,0.8291474076189992,0.007135758727675852,0.006588865556685008,0.0012616469551958475,0.07265921130175544,0.004562873980689383,0.020915742966807222,5,0.00886021471202342,0.008181157150740593,0.0015665416027100842,0.09021832681126996,0.005665556350162715,0.025970325037568163
with_ring_types,lumo,random_forest,0.17485473646538283,0.2239846969288876,0.7652974217499511,1.9326467277015091,0.3781602990345089,0.3780882445468119,0.003096474178746043,0.004741410934795965,0.00857937015215025,0.03311557750755684,0.00630853476020063,0.007117578531069353,5,0.003844780509116536,0.005887239258425816,0.010652695045188936,0.04111842037085974,0.007833080493158154,0.008837641016416863
with_ring_types,lumo,test_mean_baseline,0.37857192961711,0.4623948689422649,0.0,4.184354344970171,0.8186698601622326,0.8186031582356446,0.006871391730009297,0.004671224575772303,0.0,0.07700227861734639,0.007091472886749573,0.01684477918980354,5,0.00853195972870764,0.005800091383261131,0.0,0.0956109571388147,0.00880522657771508,0.020915555877671067
with_ring_types,lumo,train_mean_baseline,0.3786272654255449,0.4625064749038906,-0.00048267428850642756,4.184960291278175,0.818790102997581,0.8187226798715523,0.006758942438546189,0.00467844796542467,0.0005799894725104969,0.075385658356192,0.0066612260995853306,0.01662164141035367,5,0.008392335491874375,0.005809060406137473,0.0007201520473534771,0.09360365796177254,0.008271004631750402,0.02063849373028903
