dataset,target,feature,importance,importance_std,n,importance_ci95
hidden_rng,lumo,atoms,0.08754996752257223,0.0013906618752067515,5,0.0017267347841187625
hidden_rng,lumo,paper_lalas_upper_a_ratio,0.05284587817340179,0.0009129978680321475,5,0.001133636583172311
hidden_rng,lumo,paper_lalas_lower_to_upper_a_ratio,0.047632269960581466,0.0011551260475523093,5,0.0014342784266331145
hidden_rng,lumo,pas_alternation_fraction,0.04492961269258163,0.0006559970480229366,5,0.0008145279174580277
hidden_rng,lumo,pas_total_rings,0.03278458734832511,0.0023291026428405516,5,0.0028919628997363584
hidden_rng,lumo,rng,0.03257752448553784,0.0010613230628107513,5,0.0013178066375554647
hidden_rng,lumo,paper_lalas_number_of_rings,0.0325520399502751,0.0015920249191613005,5,0.0019767600263658485
hidden_rng,lumo,pas_rng_count,0.03252143531438732,0.004871731937785057,5,0.006049054156047177
hidden_rng,lumo,pas_rng_middle_count,0.03205795527054408,0.001177266475515759,5,0.0014617693989401538
hidden_rng,lumo,paper_lalas_longest_upper_a,0.030709993904536447,0.0009848320153661853,5,0.001222830457758651
hidden_rng,lumo,branch,0.023126232933173167,0.0006509778912204752,5,0.0008082958111550718
hidden_rng,lumo,pas_topology_length,0.02058964887193613,0.0010652552582339598,5,0.0013226891030463641
hidden_rng,lumo,paper_lalas_longest_a_case_insensitive,0.015456972672622632,0.0005274553079351581,5,0.0006549222665245672
hidden_rng,lumo,pas_longest_a_run,0.015385962565124431,0.00031925285527273714,5,0.0003964047767159152
hidden_rng,lumo,pas_a_fraction,0.014928051869109166,0.000295974137390822,5,0.0003675004307975989
hidden_rng,lumo,pas_longest_l_run,0.014895599392095612,0.0002512307985577972,5,0.00031194423780919956
hidden_rng,lumo,paper_lalas_longest_l,0.014651452794750015,0.00012817946159266654,5,0.00015915582276875646
hidden_rng,lumo,rings,0.014220446893493449,0.0009776997369974453,5,0.001213974564483019
with_ring_types,aea,dhdiborinine,0.23282217931698881,0.018782339066360627,5,0.023321354220756135
with_ring_types,aea,borole,0.14346252033121792,0.007909051936711053,5,0.009820385049737888
with_ring_types,aea,pyrrole,0.053783808900239496,0.0034931223184693633,5,0.00433728422416548
with_ring_types,aea,aromatic_ring_fraction,0.04705881632863509,0.014506236203960082,5,0.0180118712438973
with_ring_types,aea,paper_lalas_number_of_rings,0.03522182144182164,0.004512597790971414,5,0.0056031302154230505
with_ring_types,aea,pas_total_rings,0.03518116220812808,0.006839115009244694,5,0.008491882886554156
with_ring_types,aea,c,0.031265794957764506,0.005184399469504832,5,0.006437282173590856
with_ring_types,aea,n,0.02301230923423677,0.0026157555434117115,5,0.0032478894863562516
with_ring_types,aea,pas_pyrazine_fraction,0.022464899898712955,0.002293706645576198,5,0.0028480129642526916
with_ring_types,aea,atoms,0.01731680237189101,0.0010027024266792768,5,0.00124501950411921
with_ring_types,aea,pas_total_l,0.013829636354764191,0.0011545831746738,5,0.0014336043609242681
with_ring_types,aea,heteroatom_density,0.013446993624240297,0.0008015825796182973,5,0.0009952962306993439
with_ring_types,aea,paper_lalas_upper_a_ratio,0.013030782758359689,0.0004759071796493648,5,0.0005909168114573085
with_ring_types,aea,b,0.012122142526173125,0.00042589487875430474,5,0.0005288183379685784
with_ring_types,aea,pas_14diborinine_fraction,0.011448877437000796,0.0006622006341012939,5,0.000822230686951282
with_ring_types,aea,pyrazine,0.009808409147262245,0.002725928385806948,5,0.003384687138338194
with_ring_types,aea,pas_pyrazine_count,0.009317444054273587,0.0013641659740348583,5,0.0016938357775336576
with_ring_types,aea,pas_alternation_fraction,0.008645004092739635,0.00033373359491759306,5,0.0004143849898002948
with_ring_types,aea,heterocycle_fraction,0.007927172121238477,0.00041587237305634636,5,0.0005163737534716313
with_ring_types,aea,paper_lalas_longest_l,0.007853075057459143,0.0004211956906129629,5,0.0005229835252326882
with_ring_types,aip,14diborinine,0.4468118495657423,0.005824900810894605,5,0.007232569629995756
with_ring_types,aip,pyrrole,0.059652164014558376,0.0017267227890375625,5,0.0021440095220259386
with_ring_types,aip,rings,0.055721196715273556,0.0033857172684053976,5,0.00420392324027578
with_ring_types,aip,pas_borole_fraction,0.03878896240001249,0.0034494338947737816,5,0.004283037881324404
with_ring_types,aip,pas_cyclobutadiene_fraction,0.03691713772391033,0.002008588863532348,5,0.002493992479041135
with_ring_types,aip,aromatic_rings,0.025506361132523858,0.002248249500994361,5,0.002791570464364281
with_ring_types,aip,heteroatom_density,0.018892398477455306,0.0006632396999951019,5,0.0008235208576633848
with_ring_types,aip,c,0.014068965389053539,0.0009419243122256157,5,0.001169553507523391
with_ring_types,aip,paper_lalas_upper_a_ratio,0.010654488494210282,0.0004928412661166315,5,0.0006119432569661831
