property,bin_midpoint,bin,borinine__B_1,borinine__B_2,borinine__B_3,borinine__B_4,14diborinine__B_1_4,dhdiborinine__B_1_4,borole__B_1,borole__B_2,borole__B_3,pyridine__N_1,pyridine__N_2,pyridine__N_3,pyridine__N_4,pyrazine__N_1_4,pyrrole__N_1,pyrrole__N_2,pyrrole__N_3,thiophene__S_1,thiophene__S_2,thiophene__S_3,furan__O_1,furan__O_2,furan__O_3,cyclobutadiene__none_none
lumo,-9.6845,"(-9.731, -9.638]",0.030667028519510555,0.007681506566449161,0.0025959008365880423,0.028838098384641707,0.055516879255212453,0.1941261843797567,0.08575912400146314,0.01603558744055977,0.05757000082596845,0.04519227365514637,0.01341608750545729,0.0037050584667665696,0.03870252156367627,0.13239094266599016,0.028413314611381846,0.0017581328393255378,0.01983504230138409,0.03977628054608314,0.003646060720480478,0.025782015127022148,0.04431910701011221,0.004177040437055304,0.029498873143045935,0.09059693919692267
lumo,-9.591999999999999,"(-9.638, -9.546]",0.033506400501298,0.008727956315459673,0.0026765732700742995,0.030239011726792588,0.060227374451705305,0.18219496911646227,0.08095067585713007,0.012308656342314922,0.056190135171426014,0.04612836809596276,0.013526094351445708,0.003911914779339361,0.03980843254856324,0.1320293617402202,0.031438546235789094,0.001844060513830454,0.021188792408915944,0.04245815056843613,0.0038313490287351175,0.02774147345806105,0.04660281084952108,0.004368454032763406,0.029522871721421536,0.08857756691433175
lumo,-9.4995,"(-9.546, -9.453]",0.03536532641591007,0.008632367776336648,0.002471537685545468,0.03261276841043378,0.06941922467214295,0.16279723303069607,0.07979535956189653,0.00858192823173368,0.058697218619397605,0.04651246577316616,0.012119902003170485,0.003927078829802565,0.04179276552817409,0.12311572272661767,0.03385214007782101,0.0025796224239804004,0.02279146851131287,0.04631070759475429,0.0043810347312292835,0.030335783254071193,0.04858769275111688,0.004712494595763078,0.032605562761204784,0.08800259403372244
lumo,-9.407,"(-9.453, -9.361]",0.03854360330908501,0.009957201502314612,0.0028324370188288436,0.03410154349100982,0.07479754938048239,0.13975643537177296,0.07874674020188913,0.0054589920517075724,0.058557827882659744,0.046392074167425724,0.012814593913379833,0.003824413860224848,0.041794043147873175,0.11653544289582371,0.03897408382516252,0.0027138989057060503,0.026577492731742012,0.05019777148347329,0.00469785258849806,0.0329099235117228,0.05017905493929601,0.004916212270566362,0.0343448585653145,0.09037595298404102
lumo,-9.3145,"(-9.361, -9.268]",0.03977161442722584,0.011092843958287583,0.0028429493076617186,0.03717794251188519,0.08374533346786399,0.11697044875865793,0.07805943485254055,0.003982503101129464,0.05847928920332132,0.04558215173870981,0.012588508312214,0.003691679476754883,0.03995560488346282,0.11022808881397378,0.04493521755387656,0.003709485004777817,0.030631443375453298,0.05243134485153157,0.005139862422620143,0.03448930778042223,0.049997922688397325,0.005086445838551342,0.03529649171746188,0.09411408595321895
lumo,-9.222000000000001,"(-9.268, -9.176]",0.042329948039678794,0.011761927255550307,0.0031766650921114786,0.03706896551724138,0.0918457723193198,0.09827586206896552,0.07496457250826641,0.0030821917808219177,0.05490670760510156,0.045353094000944734,0.012216580066131319,0.003737600377893245,0.041042749173358525,0.10640056683986773,0.049492205951818614,0.004192253188474256,0.033313651393481344,0.05483585262163439,0.005538497874350496,0.03665564478034955,0.05189537080774681,0.005579829948039679,0.035687293339631554,0.0966461974492206
lumo,-9.1295,"(-9.176, -9.083]",0.045330423940149626,0.012375311720698254,0.003316708229426434,0.039258104738154616,0.09861596009975063,0.08120324189526185,0.06939526184538654,0.0022007481296758107,0.04992518703241895,0.04673316708229427,0.012269326683291771,0.0033042394014962595,0.04122194513715711,0.10316708229426434,0.05504364089775561,0.004744389027431422,0.036384039900249375,0.05567331670822943,0.006078553615960099,0.03738778054862843,0.05168329177057357,0.005392768079800499,0.036745635910224436,0.1025498753117207
lumo,-9.036999999999999,"(-9.083, -8.991]",0.04909800626177471,0.012225369675119611,0.003944104850842358,0.041928138680690154,0.10424092923652431,0.06290237323972296,0.06191973543324162,0.0017687480516664182,0.041474092245971185,0.047573223458614006,0.012279584174787547,0.0034832816036649,0.04269391848849975,0.10421382198669034,0.056823572464455616,0.00576029058971822,0.040640544313576665,0.05661349127824237,0.006085577587725838,0.0389124571366612,0.05260839511527358,0.006166899337227741,0.03716403952237026,0.10947940526693864
lumo,-8.9445,"(-8.991, -8.898]",0.05135619512342053,0.013464058193647495,0.003908191388424524,0.04299010527266977,0.11253934547207037,0.04750071537221946,0.0515971626078706,0.0010918839139143661,0.032274582448530854,0.04768144098555701,0.012236630069729967,0.003953372791758912,0.043953975210470037,0.10506182322022922,0.06058826187141372,0.00622750342625642,0.042862091296555674,0.057689121824123855,0.006852512839048781,0.03917227669091402,0.05357008388680552,0.006204912724589225,0.03931535113480625,0.11790840223497343
lumo,-8.852,"(-8.898, -8.806]",0.05152651134181718,0.014122204028028294,0.004139410009392637,0.0463148445227626,0.11997639372605086,0.032400442202033135,0.0410699294305402,0.0007813344194435902,0.023390160173555986,0.04954823908833235,0.013282685130541032,0.004247466897188027,0.0455002618301512,0.10117449524965297,0.06382837241390775,0.006790959794525672,0.04417864297173066,0.06047029682395871,0.006915640818904968,0.04070419842569427,0.05599009201459599,0.0065997822238107505,0.04064601394765059,0.1264016225157306
lumo,-8.7595,"(-8.806, -8.713]",0.05446508007117438,0.015198695136417556,0.004188908659549229,0.047319839857651244,0.12395277283511269,0.020675785883748517,0.02843268090154211,0.0006672597864768683,0.01619958481613286,0.05250963819691578,0.013697360616844602,0.004763493475682088,0.04775541221826809,0.09671559905100831,0.06514123665480427,0.007312055160142349,0.04529952550415184,0.06381598457888493,0.007265717674970344,0.04336261862396204,0.06230538256227758,0.006468712930011862,0.04355723606168446,0.128929418742586
lumo,-8.667,"(-8.713, -8.621]",0.057814621596512544,0.015232105848842789,0.004563506242917377,0.04972894610570591,0.13006503251625812,0.012424579636757154,0.020091678492307377,0.0003164847729987443,0.010168349480862881,0.05316944186378904,0.014578717930393769,0.004655388918949271,0.048024012006003,0.08272503598738144,0.06845259364376066,0.007513961062163735,0.048973466324999236,0.06941225714898265,0.007626262110647161,0.04832007840655021,0.0656246490592235,0.0070749660544557995,0.045471715449561516,0.1279721493399761
lumo,-8.575,"(-8.621, -8.529]",0.060097945888910556,0.016802192886880528,0.004920232592813478,0.05205812526522233,0.14010620362193346,0.007328738057827069,0.014577192600153686,0.00025231962014428096,0.006319459577249945,0.05042951680792743,0.013934924476150062,0.004369717057953229,0.04756224839719696,0.06388274019107476,0.0750765560665665,0.00825773302290374,0.053010058377584844,0.07293183929534011,0.00763840304618596,0.05166817676136298,0.07039717402025439,0.006950258627610648,0.050372171439712815,0.12105607230104025
lumo,-8.4825,"(-8.529, -8.436]",0.06626927084020204,0.01694647025465863,0.006013689055349678,0.05546836878684373,0.1496037031664183,0.004760837168818494,0.009350231447901144,0.00011869123135558574,0.003679428172023158,0.04718635842114286,0.01341210914318119,0.004154193097445501,0.0438102522848062,0.04400807100373218,0.08197607712292455,0.009205164387355427,0.05823783085180741,0.07885054136389413,0.008189694963535415,0.05445289936302373,0.07445896580373745,0.007358856344046316,0.053912194864626055,0.10857610086117082
lumo,-8.39,"(-8.436, -8.344]",0.0699216492197033,0.019475306659816324,0.006486417057350202,0.059116305953374866,0.15713505876308523,0.0029220987733607345,0.0058281420589557514,4.8166463297154966e-05,0.0021835463361376917,0.04055616209620448,0.0114796737524886,0.0033395414552694113,0.03817994990687817,0.028482435296384303,0.09357138269860639,0.010355789608888317,0.06523344679211354,0.08326375955301522,0.008252520711579218,0.056483205959797056,0.08162609980091196,0.007867189005201978,0.05629054010660844,0.09190161197097167
lumo,-8.2975,"(-8.344, -8.251]",0.07139896168499181,0.019463471446337276,0.006731281707100417,0.05925896681734736,0.17045342387334925,0.001381788033715628,0.0037110878619791153,0.0,0.0011449100850786631,0.033103693322015834,0.009692256065062476,0.0034149904261829094,0.030221678280266093,0.016166919994472846,0.10357488304151286,0.011508320337945873,0.07339268441935293,0.08959908407193194,0.008290728202293767,0.05998934049231134,0.08290728202293768,0.008981622219151582,0.060068299808523656,0.07554432578613869
lumo,-8.205,"(-8.251, -8.159]",0.07120051085568327,0.022562792677735206,0.007343550446998723,0.05898786717752235,0.17385057471264367,0.0007183908045977011,0.0021285653469561515,2.6607066836951895e-05,0.0007183908045977011,0.025329927628778205,0.007130693912303108,0.002288207747977863,0.023520647083865476,0.009099616858237548,0.12172733077905491,0.012877820349084718,0.08261494252873564,0.09038420604512558,0.007982120051085569,0.06162196679438059,0.08527564921243082,0.007077479778629204,0.06220732226479353,0.06332481907194551
lumo,-8.1125,"(-8.159, -8.066]",0.0705522659545648,0.02082123921204381,0.006772707922133209,0.05944502496226634,0.16862107666705367,0.0005031154456441813,0.0010449320794148381,3.8701188126475485e-05,0.0005418166337706568,0.019157088122605363,0.005418166337706568,0.0020511629707032006,0.018383064360075856,0.005108556832694764,0.14389101745423585,0.016331901389372655,0.09957815704942141,0.09071558496845854,0.007740237625295097,0.06118657842795774,0.08316885328379581,0.007082317427145013,0.06021904872479585,0.051627384960718295
lumo,-8.02,"(-8.066, -7.974]",0.0653435686201086,0.019347188416651066,0.0069899519440803845,0.050614741309367786,0.1712538226299694,0.0005616925669350309,0.0011857954190850652,0.0,0.0005616925669350309,0.013730262747300756,0.0055545153841353055,0.0018098982712350996,0.01435436559945079,0.0024964114086001373,0.16438869125631905,0.019347188416651066,0.11115271796792112,0.09717281407976035,0.00655307994757536,0.06091243836984335,0.07901142108219435,0.007052362229295388,0.05960182238032828,0.04100355738625726
gap,0.2595,"(0.207, 0.312]",0.03931728131667175,0.011124657116732703,0.0027430661383724473,0.03743777303667581,0.21111449761251652,0.13740729452402722,0.061160215381489386,0.018033119983744794,0.0454129838463883,0.03192624199939043,0.008660977344305598,0.0020572996037793354,0.030732500253987605,0.08440008127603373,0.03891090114802398,0.004241593010261099,0.024128822513461344,0.040638016864777,0.00429239053134207,0.023874834908056485,0.03555826475667987,0.004139997968099157,0.022452504317789293,0.08023468454739409
gap,0.364,"(0.312, 0.416]",0.04112728980742132,0.011160169093471114,0.0029121653358384217,0.03755753875058713,0.18716768435885392,0.11951150775011743,0.06673555659934241,0.023053076561766087,0.0492813527477689,0.03351808360732739,0.009206200093940818,0.0025927665570690465,0.029084077031470174,0.08650070455612964,0.04125880695162048,0.003926726162517614,0.027317989666510098,0.04157820573038985,0.004283701268201033,0.026002818224518554,0.03622357914513856,0.004001878816345702,0.02335368717707844,0.09264443400657586
gap,0.4675,"(0.416, 0.519]",0.04155908708078479,0.010935148494346032,0.00331368136192304,0.03896337001394508,0.1710273792922529,0.11211288607839617,0.06686732848247201,0.023665207726400374,0.04901487014511163,0.03577395170309415,0.00847750148425311,0.0022643489306474105,0.03182514808013586,0.09287972717356786,0.04078589476300275,0.004445855827246745,0.028097256547972443,0.0420837532964226,0.004031645657006365,0.026799398014552583,0.036712828088972346,0.003824540571886175,0.023872312811520566,0.10066687837408701
