property,bin_midpoint,bin_left,bin_right,molecule_count,b,n,o,s
lumo,-9.407,-9.453,-9.361,37402,0.29037246042465276,0.2613385711823341,0.22776512832335521,0.2205238400696579
lumo,-9.3145,-9.361,-9.268,39865,0.27975755159206817,0.2585510135980174,0.23032063756290383,0.23137079724701054
lumo,-9.222000000000001,-9.268,-9.176,40986,0.2662420648559901,0.2566858881216801,0.2353385770950089,0.241733469927321
lumo,-9.1295,-9.176,-9.083,39272,0.2553228949852994,0.259690438714661,0.23749032365465572,0.24749634264538387
lumo,-9.036999999999999,-9.083,-8.991,36624,0.23915896500076966,0.26615439993661294,0.24195499205897017,0.2527316430036472
lumo,-8.9445,-8.991,-8.898,33382,0.2246344577798404,0.2707495507291927,0.2483042292417493,0.25631176224921765
lumo,-8.852,-8.898,-8.806,30748,0.20937807575544723,0.2695974061908884,0.2563334138239875,0.26469110422967684
lumo,-8.7595,-8.806,-8.713,28293,0.19147608322242982,0.2630887817748009,0.2720669759504818,0.2733681590522876
lumo,-8.667,-8.713,-8.621,26460,0.18187534421459078,0.24571936433781685,0.2797386467482123,0.29266664469938003
lumo,-8.575,-8.621,-8.529,24295,0.18053529033106352,0.22233787515631329,0.29544282490793566,0.3016840096046876
lumo,-8.4825,-8.529,-8.436,21576,0.18244322884101083,0.19705931622833536,0.3059491039874797,0.314548350943174
lumo,-8.39,-8.436,-8.344,17900,0.18367381290399304,0.17701063557662045,0.3194628672390399,0.31985268428034663
lumo,-8.2975,-8.344,-8.251,14360,0.18635865629396028,0.159646765055622,0.32301359073981245,0.3309809879106053
lumo,-8.205,-8.251,-8.159,10424,0.18687200844479024,0.15609491283697266,0.32512457322655625,0.3319085054916809
lumo,-8.1125,-8.159,-8.066,6944,0.1821345029783334,0.16799466385515008,0.3175757974557492,0.33229503571076735
lumo,-8.02,-8.066,-7.974,4197,0.17722045629387934,0.1774902237694422,0.3051465800321823,0.34014273990449606
gap,0.2595,0.207,0.312,7742,0.4318552049652204,0.2133698517145635,0.16960052537533823,0.1851744179448779
gap,0.364,0.312,0.416,10703,0.40514073918238597,0.2233439394739105,0.17567762412405605,0.1958376972196473
gap,0.4675,0.416,0.519,14782,0.3853049728535108,0.236530761131986,0.17867770482962472,0.1994865611848784
gap,0.571,0.519,0.623,18985,0.37011027485735193,0.2393191842548739,0.1858326213931823,0.2047379194945919
gap,0.675,0.623,0.727,22892,0.3505419125293827,0.24550928740037178,0.19657356229317532,0.20737523777707023
gap,0.7789999999999999,0.727,0.831,28192,0.3277634262923842,0.25008171014459796,0.20557101377036405,0.21658384979265383
gap,0.8825000000000001,0.831,0.934,30176,0.31677818817419345,0.2506915733057252,0.21061325715482668,0.2219169813652548
