property,bin_midpoint,bin_left,bin_right,molecule_count,cyclobutadiene,borinine,14diborinine,dhdiborinine,borole,pyridine,pyrazine,pyrrole,furan,thiophene
gap,2.0235000000000003,1.972,2.075,14753,0.08137939903124866,0.138218526297741,0.01843199451326675,0.013781130781430838,0.017638990098161087,0.1481417977624416,0.10497663851858202,0.1577650135025076,0.16404475116807407,0.15562175832654637
gap,2.127,2.075,2.179,12181,0.06817993994655795,0.13495495991845954,0.010440483733230489,0.005674774799592297,0.006859315170380981,0.1548717666179995,0.0904382799371918,0.174099887055453,0.18051844301809866,0.17396214980303573
gap,2.231,2.179,2.283,9865,0.05181384593149299,0.12306691718456424,0.0049862696921520455,0.00332417979476803,0.0023847376788553257,0.15988582165052753,0.07175892470010117,0.1867683191212603,0.2040757334874982,0.19193525075878018
gap,2.335,2.283,2.387,7071,0.03837997206848394,0.10991568820152071,0.0011896756840635184,0.0013448507732891947,0.0006207003569027053,0.1603993172296074,0.044742150726736665,0.1990896394765427,0.2351419852066415,0.20917602027621165
gap,2.4385000000000003,2.387,2.49,4558,0.02690620782726046,0.0824055330634278,8.434547908232118e-05,0.0006747638326585695,0.0005060728744939271,0.15258097165991902,0.02471322537112011,0.2065620782726046,0.27091767881241563,0.23464912280701755
aip,10.9565,10.912,11.001,3300,0.10726708074534161,0.1263975155279503,0.31080745341614907,0.03192546583850932,0.04720496894409938,0.06111801242236025,0.041677018633540376,0.1375776397515528,0.05782608695652174,0.07819875776397515
aip,11.045,11.001,11.089,4668,0.10411719905022176,0.12629362483759687,0.3044218448994221,0.03534787867927064,0.049280946194166925,0.057927512208234395,0.04614488598181085,0.13458178397025222,0.06079476725953138,0.08108955691949285
aip,11.133,11.089,11.177,6829,0.10109761361534192,0.12631806129370413,0.288000246654745,0.039341431830794846,0.052568292532527594,0.06332860578405378,0.04988592218042794,0.13020287352777948,0.06487019794043287,0.0843867546401924
aip,11.221,11.177,11.265,9374,0.10171867933061964,0.12132519222071461,0.2708276797829037,0.04423337856173677,0.059000452284034374,0.06811397557666214,0.0540479421076436,0.12403889642695613,0.06741293532338309,0.08928086838534599
aip,11.3085,11.265,11.352,12496,0.10213485666948553,0.1202215970867922,0.25683861726179175,0.04878932744248658,0.06333810814075902,0.06911965207186373,0.05769463093039712,0.1198073969245638,0.0731235869734049,0.08893222649845538
aip,11.396,11.352,11.44,15851,0.1013680228095186,0.11942098914354644,0.23991117447088497,0.05277442702050664,0.06941550608619367,0.07252714113389626,0.06182147165259349,0.11603520122820485,0.07670797236539094,0.09001809408926417
aip,11.484,11.44,11.528,19310,0.10337136871036418,0.11936650258512903,0.2192572400509141,0.05630962974644334,0.07302567106345112,0.0760782635141985,0.06517453845027428,0.11582955044662469,0.07804949480158149,0.0935377406310193
aip,11.572,11.528,11.616,23079,0.10698416315369716,0.12100755763168888,0.1986346891496715,0.06171432911776993,0.0788899016368539,0.07624093274087577,0.06800919068778247,0.11495955337814744,0.08045649614522805,0.0931031863582849
aip,11.66,11.616,11.704,26399,0.11226106597444628,0.12099248221690322,0.17400465226039175,0.06515692950814146,0.08347099079661531,0.0774533931160031,0.0722280281832586,0.11667734214341098,0.08210565350773691,0.0956494622930924
aip,11.748000000000001,11.704,11.792,30475,0.11728097438674312,0.12396430611291195,0.14692945042392055,0.06876191465214779,0.08986522071313598,0.08017772766721311,0.0761499261940614,0.11470703863870695,0.08551845890233138,0.09664498230882779
aip,11.836,11.792,11.88,34192,0.11985058912680477,0.1232170280111857,0.11783206700688711,0.07377329515353509,0.094863833582575,0.0852406467318048,0.08045923054741515,0.1168462771343692,0.08961969970292183,0.09829733300250136
aip,11.9235,11.88,11.967,38121,0.120466927988561,0.12537904001183345,0.08973695239503982,0.0816630919803762,0.0997768902694574,0.08799275201538348,0.08568153243103321,0.11740379163276878,0.09331163868550156,0.09858738259004511
aip,12.011,11.967,12.055,41570,0.11603109144406089,0.12327688066167783,0.06068855269559577,0.08953849361721845,0.10787595857563191,0.09175682876537776,0.09294418830943169,0.1161990593795612,0.09632671501054144,0.10536223154090309
aip,12.099,12.055,12.143,44093,0.11028196101807385,0.1152531125932091,0.038661388098478286,0.09758415529787545,0.11467389470606099,0.10029467007074332,0.10372498959657193,0.11164284187914028,0.10073892456671128,0.10714406217313553
aip,12.187000000000001,12.143,12.231,45820,0.09972870927143057,0.10172003915536289,0.023795273388337295,0.10767724793735142,0.12123619074255348,0.11075933435883094,0.11565375471961964,0.10033841420780311,0.10771640330023773,0.11137463291847294
aip,12.275,12.231,12.319,43836,0.08825184047038612,0.08415048000435543,0.013150969989897829,0.11590275299284379,0.1242809008474935,0.12544234805911283,0.1302998590535415,0.08669114577977267,0.11675569078887672,0.1150740120137196
aip,12.363,12.319,12.407,38400,0.07734108610602634,0.06799468791500664,0.008047090915616811,0.1261333046193604,0.1288970245145544,0.13614012418793295,0.14196188220092604,0.0733642008542407,0.12652094325401098,0.11359965543232475
aip,12.451,12.407,12.495,29981,0.0684007431756467,0.05365156495640989,0.004906864846839122,0.1325901576866276,0.13098947167833833,0.15360868943833073,0.14865418512695916,0.0590348244485732,0.13491496355580962,0.11324853508646562
aip,12.538499999999999,12.495,12.582,20931,0.05847576351919305,0.04211263659288316,0.0031521434575511346,0.1383580834967778,0.12919585318016252,0.16564864107593164,0.1547072008966097,0.049327542729055755,0.14731017091622303,0.11171196413561221
aip,12.626000000000001,12.582,12.67,13208,0.054867825727475256,0.0352770951516961,0.0020670172940446935,0.14014377253623023,0.1265933258308261,0.17459406077030845,0.15089226246526263,0.04232792081027078,0.16092877977079076,0.11230793964309502
aip,12.713999999999999,12.67,12.758,7686,0.052465725393902186,0.030202578268876613,0.0016779210149375895,0.13963576836505012,0.1232658072437078,0.18583998363003887,0.1498669940658891,0.03760998567628402,0.17294863924698178,0.1064865970943319
aip,12.802,12.758,12.846,4211,0.048530312308634416,0.02640845070422535,0.0019136558481322719,0.13709430496019595,0.12507654623392528,0.1956521739130435,0.13923759951010412,0.03260869565217391,0.18585425597060626,0.10762400489895897
aea,-8.4955,-8.549,-8.442,3071,0.09700113277290884,0.05872533237941931,0.04626483038216181,0.24903118106480654,0.17742800930066177,0.09157574673582543,0.14636618374768973,0.026351875037262266,0.05765217909735885,0.049603529481905446
aea,-8.389,-8.442,-8.336,5576,0.09351680701033752,0.059628945026357225,0.04713493530499076,0.24286301088519202,0.17799685082494696,0.09406448962826042,0.14424590949544738,0.03149175053056753,0.05870473060861231,0.050352570685287874
aea,-8.283000000000001,-8.336,-8.23,8910,0.09296881900892147,0.06640314459853369,0.05092306333362777,0.2289329564526102,0.17379206783853016,0.09592792156169949,0.13686953449341932,0.03495715926154933,0.06145658510732267,0.05776874834378588
aea,-8.177,-8.23,-8.124,13493,0.09063946978179947,0.07216354447235421,0.05895348485307024,0.214962321823079,0.16377144932360863,0.09908301304360984,0.13176769663771448,0.04196047574372787,0.06556608056169234,0.061132463759343884
aea,-8.071000000000002,-8.124,-8.018,19119,0.09031654280209193,0.07650977153867328,0.06560968896229012,0.1968070465180292,0.1587998898981558,0.09947701624002202,0.12805945499587118,0.048455821635012386,0.06991467107074044,0.06605009633911368
aea,-7.965,-8.018,-7.912,25257,0.09019823978229793,0.0806307159711338,0.07118375501627598,0.1747300253181998,0.15299426465269286,0.10233203010626754,0.12876113053512686,0.053064880039957976,0.07403420540466062,0.07207075317338661
aea,-7.859,-7.912,-7.806,30995,0.09261275552511086,0.08312362548220788,0.07785989833074954,0.1516097631322782,0.14779536359375564,0.10684645058946533,0.12484407109636947,0.0603165446876014,0.07652594008003749,0.0784655874824242
aea,-7.753,-7.806,-7.7,36575,0.09492811728531471,0.08787559270881344,0.0840557383052474,0.1317818200185626,0.137325344260432,0.10785248416812411,0.12186913999608544,0.06661699803640542,0.08391052069982258,0.0837842445211923
aea,-7.647,-7.7,-7.594,41963,0.09739579224935487,0.09331650533575236,0.090690886963185,0.11443977417428246,0.12592826314781216,0.10854058439729099,0.11461443977417428,0.07519072356633348,0.08945132464137208,0.09043170575044229
aea,-7.541,-7.594,-7.488,43981,0.10102764349951882,0.09807966726031792,0.09445138881207066,0.09486620723222089,0.11918009756529242,0.10771451643234035,0.10853309144810346,0.0843132266235993,0.09613831705401489,0.09569584407252132
aea,-7.4345,-7.488,-7.381,43685,0.10415920398009951,0.10285714285714286,0.10112864250177683,0.0731314854299929,0.11106751954513149,0.10775266524520256,0.10315280739161337,0.09480597014925374,0.09975835110163468,0.1021862117981521
aea,-7.328,-7.381,-7.275,41879,0.10843315213776507,0.10900152978238392,0.10643778381091164,0.0525507458444943,0.09952050694448643,0.10879594637901115,0.0980451436967524,0.10554893791985875,0.10336007933100742,0.10830617415332894
aea,-7.2219999999999995,-7.275,-7.169,38808,0.11403684421305567,0.1144506741423041,0.11356294219730344,0.033727139233747164,0.08329328527566413,0.11098651715391804,0.09412628487518356,0.11246829528767854,0.11060606060606061,0.11274195701508477
aea,-7.116,-7.169,-7.063,34857,0.11905719205880791,0.11992201427715277,0.11659927628035412,0.0209984903541978,0.06293478178411306,0.11216895895128927,0.08597394912721232,0.1251488783862721,0.11662203475978425,0.12057442402081642
aea,-7.01,-7.063,-6.957,31464,0.11589038259098831,0.12732324365368353,0.12481232850708406,0.01354686178749547,0.045041158299825704,0.10880632301931074,0.07318756795002329,0.13677153260738262,0.1246915284656669,0.12992907311853935
aea,-6.904,-6.957,-6.851,26621,0.11246554683030839,0.1339123199334339,0.1311976701856571,0.00798793489000988,0.03208695199958396,0.0997867803837953,0.05863019397784596,0.15148993707421082,0.13548286442352697,0.13695980030162774
aea,-6.798,-6.851,-6.745,21910,0.10092292024696073,0.138769015339571,0.1389726942906244,0.005372032334033479,0.021157151040672142,0.09253389345044873,0.0458404939214563,0.166443892813952,0.14382279931258354,0.14616510724969767
